[I 2025-01-02 23:13:36,950] A new study created in memory with name: no-name-ac203adb-c977-4362-9fa4-d127ab5ea4c5
[I 2025-01-02 23:13:51,043] Trial 0 finished with value: 1048632940.2197137 and parameters: {'learning_rate': 0.05596832673731832, 'n_estimators': 457, 'max_depth': 9, 'subsample': 0.8187560426508718, 'colsample_bytree': 0.9158531270375503, 'min_child_weight': 8, 'reg_alpha': 0.03446318717647653, 'reg_lambda': 2.8288671409502997}. Best is trial 0 with value: 1048632940.2197137.
[I 2025-01-02 23:50:00,961] Trial 72 finished with value: 970475464.363238 and parameters: {'learning_rate': 0.09267825468292354, 'n_estimators': 565, 'max_depth': 11, 'subsample': 0.9963669546329541, 'colsample_bytree': 0.9684735289463964, 'min_child_weight': 7, 'reg_alpha': 0.036853745255085356, 'reg_lambda': 3.280000204147539}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:50:20,998] Trial 73 finished with value: 970555149.5334604 and parameters: {'learning_rate': 0.10516820377540195, 'n_estimators': 540, 'max_depth': 11, 'subsample': 0.983162487179813, 'colsample_bytree': 0.9729163573474134, 'min_child_weight': 6, 'reg_alpha': 0.030220660633326575, 'reg_lambda': 3.2231069128285745}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:50:43,074] Trial 74 finished with value: 975201551.379985 and parameters: {'learning_rate': 0.08213855235575497, 'n_estimators': 531, 'max_depth': 11, 'subsample': 0.8958710324117993, 'colsample_bytree': 0.9655629513624014, 'min_child_weight': 5, 'reg_alpha': 0.08993524326869089, 'reg_lambda': 3.421122440807544}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:51:04,258] Trial 75 finished with value: 970663519.0813522 and parameters: {'learning_rate': 0.09640532840115859, 'n_estimators': 560, 'max_depth': 11, 'subsample': 0.9716647312052759, 'colsample_bytree': 0.9753904434691746, 'min_child_weight': 6, 'reg_alpha': 0.08024089958740135, 'reg_lambda': 3.329547904726899}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:51:19,098] Trial 76 finished with value: 984480381.7083923 and parameters: {'learning_rate': 0.09074385498096635, 'n_estimators': 430, 'max_depth': 10, 'subsample': 0.9849597098179532, 'colsample_bytree': 0.9701930445521536, 'min_child_weight': 5, 'reg_alpha': 0.0409868563719607, 'reg_lambda': 3.0135904430811684}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:51:37,918] Trial 77 finished with value: 970149747.2507765 and parameters: {'learning_rate': 0.12453968437263482, 'n_estimators': 546, 'max_depth': 11, 'subsample': 0.9948422663241986, 'colsample_bytree': 0.9502270931740299, 'min_child_weight': 7, 'reg_alpha': 0.0750667750551036, 'reg_lambda': 4.378099721934789}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:51:57,932] Trial 78 finished with value: 971723570.3220648 and parameters: {'learning_rate': 0.10338014444423546, 'n_estimators': 519, 'max_depth': 11, 'subsample': 0.9640330461381333, 'colsample_bytree': 0.9780280021953314, 'min_child_weight': 6, 'reg_alpha': 0.0385785212759931, 'reg_lambda': 3.2363297307844356}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:52:19,941] Trial 79 finished with value: 972739722.6275581 and parameters: {'learning_rate': 0.09937271218379505, 'n_estimators': 566, 'max_depth': 11, 'subsample': 0.9481594888607191, 'colsample_bytree': 0.9849273480484698, 'min_child_weight': 5, 'reg_alpha': 0.032904808490935154, 'reg_lambda': 3.150100023202946}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:52:40,227] Trial 80 finished with value: 974361949.5899478 and parameters: {'learning_rate': 0.08269101546162566, 'n_estimators': 554, 'max_depth': 11, 'subsample': 0.9424458920635674, 'colsample_bytree': 0.964177789246089, 'min_child_weight': 10, 'reg_alpha': 0.0667796156615006, 'reg_lambda': 3.556074719261245}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:53:02,018] Trial 81 finished with value: 970270618.9693598 and parameters: {'learning_rate': 0.08745814185946596, 'n_estimators': 582, 'max_depth': 11, 'subsample': 0.9873879438242902, 'colsample_bytree': 0.974884052534198, 'min_child_weight': 6, 'reg_alpha': 0.04459044512319375, 'reg_lambda': 3.327651122901674}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:53:22,375] Trial 82 finished with value: 981525126.9390237 and parameters: {'learning_rate': 0.07507976942575181, 'n_estimators': 600, 'max_depth': 10, 'subsample': 0.980276266456859, 'colsample_bytree': 0.9721631514154729, 'min_child_weight': 6, 'reg_alpha': 0.03537436563319939, 'reg_lambda': 3.1839910186247016}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:53:39,558] Trial 83 finished with value: 987941492.8147241 and parameters: {'learning_rate': 0.10822788807353828, 'n_estimators': 581, 'max_depth': 9, 'subsample': 0.9756915854777022, 'colsample_bytree': 0.9807119370305041, 'min_child_weight': 6, 'reg_alpha': 0.04869653002263929, 'reg_lambda': 3.5154727036356204}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:54:01,166] Trial 84 finished with value: 969630920.388467 and parameters: {'learning_rate': 0.09188943218801622, 'n_estimators': 571, 'max_depth': 11, 'subsample': 0.9958123113264572, 'colsample_bytree': 0.9693645385413682, 'min_child_weight': 6, 'reg_alpha': 0.039322510164336535, 'reg_lambda': 3.0544241471131244}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:54:19,641] Trial 85 finished with value: 983047993.2442569 and parameters: {'learning_rate': 0.08788848034080496, 'n_estimators': 588, 'max_depth': 10, 'subsample': 0.9875715647681772, 'colsample_bytree': 0.9589194495775528, 'min_child_weight': 11, 'reg_alpha': 0.03661077468144387, 'reg_lambda': 3.3641419058456647}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:54:36,697] Trial 86 finished with value: 1026657553.7728132 and parameters: {'learning_rate': 0.09657581106304497, 'n_estimators': 558, 'max_depth': 8, 'subsample': 0.9699485056253897, 'colsample_bytree': 0.9614256815349909, 'min_child_weight': 5, 'reg_alpha': 0.03410166183416973, 'reg_lambda': 3.938879375195564}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:54:58,754] Trial 87 finished with value: 968833230.3009441 and parameters: {'learning_rate': 0.08365061182739623, 'n_estimators': 596, 'max_depth': 11, 'subsample': 0.9929932230044534, 'colsample_bytree': 0.9769301993445404, 'min_child_weight': 7, 'reg_alpha': 0.07020071833113659, 'reg_lambda': 3.6100155870738813}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:55:21,590] Trial 88 finished with value: 972574943.6420745 and parameters: {'learning_rate': 0.08265233892596878, 'n_estimators': 579, 'max_depth': 11, 'subsample': 0.9216460978810253, 'colsample_bytree': 0.9767115544371758, 'min_child_weight': 7, 'reg_alpha': 0.07189009369679085, 'reg_lambda': 3.6395585689171246}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:55:44,099] Trial 89 finished with value: 968331355.0739136 and parameters: {'learning_rate': 0.09424920589279798, 'n_estimators': 594, 'max_depth': 11, 'subsample': 0.9936463179358729, 'colsample_bytree': 0.9553165518713288, 'min_child_weight': 5, 'reg_alpha': 0.06881097566367883, 'reg_lambda': 3.590058454811741}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:56:05,558] Trial 90 finished with value: 971012149.3807122 and parameters: {'learning_rate': 0.09540507467072086, 'n_estimators': 593, 'max_depth': 11, 'subsample': 0.9999187969649677, 'colsample_bytree': 0.9555095315694812, 'min_child_weight': 5, 'reg_alpha': 0.06493777304365765, 'reg_lambda': 3.711187786203757}. Best is trial 51 with value: 967690134.7756989.
[I 2025-01-02 23:56:27,804] Trial 91 finished with value: 966968802.9124095 and parameters: {'learning_rate': 0.0906892779642659, 'n_estimators': 597, 'max_depth': 11, 'subsample': 0.9931897210931377, 'colsample_bytree': 0.9817972368971151, 'min_child_weight': 5, 'reg_alpha': 0.06780706951908863, 'reg_lambda': 3.5792512979058198}. Best is trial 91 with value: 966968802.9124095.
[I 2025-01-02 23:56:50,474] Trial 92 finished with value: 968541521.5044106 and parameters: {'learning_rate': 0.08578286988791631, 'n_estimators': 595, 'max_depth': 11, 'subsample': 0.9925989313819292, 'colsample_bytree': 0.9831176491107526, 'min_child_weight': 5, 'reg_alpha': 0.06947173581912956, 'reg_lambda': 3.5816117967779024}. Best is trial 91 with value: 966968802.9124095.
[I 2025-01-02 23:57:12,847] Trial 93 finished with value: 969394925.9476519 and parameters: {'learning_rate': 0.08631815190211543, 'n_estimators': 597, 'max_depth': 11, 'subsample': 0.991983472444126, 'colsample_bytree': 0.9864345950270018, 'min_child_weight': 5, 'reg_alpha': 0.06981924397040189, 'reg_lambda': 3.8206913571396437}. Best is trial 91 with value: 966968802.9124095.
[I 2025-01-02 23:57:34,788] Trial 94 finished with value: 968622574.7574518 and parameters: {'learning_rate': 0.08946296717216422, 'n_estimators': 587, 'max_depth': 11, 'subsample': 0.9952512599972615, 'colsample_bytree': 0.9906593301028362, 'min_child_weight': 5, 'reg_alpha': 0.06814952746878303, 'reg_lambda': 3.587756117559793}. Best is trial 91 with value: 966968802.9124095.
[I 2025-01-02 23:57:57,237] Trial 95 finished with value: 966840934.8236686 and parameters: {'learning_rate': 0.10145119068152983, 'n_estimators': 588, 'max_depth': 11, 'subsample': 0.9845933905364476, 'colsample_bytree': 0.9907906909409554, 'min_child_weight': 5, 'reg_alpha': 0.062250465267609745, 'reg_lambda': 3.7048720558831367}. Best is trial 95 with value: 966840934.8236686.
[I 2025-01-02 23:58:18,961] Trial 96 finished with value: 966747955.3357964 and parameters: {'learning_rate': 0.10087761346626611, 'n_estimators': 590, 'max_depth': 11, 'subsample': 0.9958183955552087, 'colsample_bytree': 0.9955580767322605, 'min_child_weight': 5, 'reg_alpha': 0.07393758236869877, 'reg_lambda': 3.6904532645035695}. Best is trial 96 with value: 966747955.3357964.
[I 2025-01-02 23:58:41,449] Trial 97 finished with value: 968246588.6886448 and parameters: {'learning_rate': 0.10272056614546657, 'n_estimators': 588, 'max_depth': 11, 'subsample': 0.986842340409586, 'colsample_bytree': 0.9937738735810212, 'min_child_weight': 5, 'reg_alpha': 0.06587536440714584, 'reg_lambda': 3.7612659722966346}. Best is trial 96 with value: 966747955.3357964.
[I 2025-01-02 23:59:03,162] Trial 98 finished with value: 969692499.4558148 and parameters: {'learning_rate': 0.10323015920410267, 'n_estimators': 584, 'max_depth': 11, 'subsample': 0.9863370153451823, 'colsample_bytree': 0.9970097050829582, 'min_child_weight': 5, 'reg_alpha': 0.06194538423219937, 'reg_lambda': 3.6878713120801963}. Best is trial 96 with value: 966747955.3357964.
[I 2025-01-02 23:59:27,266] Trial 99 finished with value: 972292100.5841079 and parameters: {'learning_rate': 0.11277785470667578, 'n_estimators': 600, 'max_depth': 11, 'subsample': 0.9741042224684671, 'colsample_bytree': 0.9980681240806821, 'min_child_weight': 5, 'reg_alpha': 0.0663872985047815, 'reg_lambda': 3.811123161969825}. Best is trial 96 with value: 966747955.3357964.
